,date-time,open,close,volume,short_sma,long_sma,buy_signal,sell_signal
0,2024-07-17 07:00:00,121.93,122.19,55013.0,,,False,False
1,2024-07-17 07:01:00,122.23,122.0,11157.0,,,False,False
2,2024-07-17 07:02:00,122.01,121.92,12307.0,,,False,False
3,2024-07-17 07:03:00,121.91,121.641,11274.0,,,False,False
4,2024-07-17 07:04:00,121.69,121.52,11909.0,121.85419999999999,,False,False
5,2024-07-17 07:05:00,121.52,121.36,22426.0,121.68820000000001,,False,False
6,2024-07-17 07:06:00,121.35,121.4,29957.0,121.5682,,False,False
7,2024-07-17 07:07:00,121.4,121.34,5092.0,121.45219999999999,,False,False
8,2024-07-17 07:08:00,121.34,121.4,12194.0,121.404,,False,False
9,2024-07-17 07:09:00,121.38,121.35,14815.0,121.37,,False,False
10,2024-07-17 07:10:00,121.35,121.51,28110.0,121.4,,False,False
11,2024-07-17 07:11:00,121.52,121.34,8908.0,121.388,,False,False
12,2024-07-17 07:12:00,121.34,121.12,21888.0,121.34400000000001,,False,False
13,2024-07-17 07:13:00,121.12,121.091,12525.0,121.28220000000002,,False,False
14,2024-07-17 07:14:00,121.09,121.02,11203.0,121.2162,,False,False
15,2024-07-17 07:15:00,121.031,121.03,17856.0,121.1202,,False,False
16,2024-07-17 07:16:00,121.02,121.06,47662.0,121.0642,,False,False
17,2024-07-17 07:17:00,121.05,121.06,31571.0,121.0522,,False,False
18,2024-07-17 07:18:00,121.02,120.95,13829.0,121.024,,False,False
19,2024-07-17 07:19:00,120.95,120.96,15492.0,121.01200000000001,121.3631,False,False
20,2024-07-17 07:20:00,120.97,120.83,4812.0,120.97200000000001,121.2951,False,False
21,2024-07-17 07:21:00,120.82,120.84,28205.0,120.928,121.23710000000001,False,False
22,2024-07-17 07:22:00,120.84,120.78,12528.0,120.872,121.1801,False,False
23,2024-07-17 07:23:00,120.79,120.71,25716.0,120.824,121.13354999999999,False,False
24,2024-07-17 07:24:00,120.74,120.59,10744.0,120.75,121.08705,False,False
25,2024-07-17 07:25:00,120.57,120.69,50041.0,120.72200000000001,121.05355000000002,False,False
26,2024-07-17 07:26:00,120.67,120.8,19007.0,120.71399999999998,121.02355,False,False
27,2024-07-17 07:27:00,120.84,120.93,8880.0,120.744,121.00304999999999,False,False
28,2024-07-17 07:28:00,120.93,120.96,11971.0,120.79400000000001,120.98104999999998,False,False
